Year,K/USD  ,K/GBP  ,K/ZAR  
2007,4.001888434819923,7.932326546279694,0.562966048551724
2008,3.7530659169198475,6.9343971344694655,0.4597015586717557
2009,5.045970321103448,7.802485722295019,0.617708639908046
2010,4.799415877394636,7.4947359345095785,0.6711889018620689
2011,4.88454916923077,7.94172272681923,0.6700282657346154
2012,5.1427402767164745,8.173094909647508,0.6048143939348659
2013,5.397241379310345,8.463639846743297,0.5583524904214558
2014,6.19544061302682,10.183065134099618,0.5688505747126437
2015,8.85616858237548,13.457088122605365,0.6752107279693487
2016,10.233793103448276,13.733486590038314,0.705287356321839
2017,9.546409266409267,12.399536679536679,0.7166795366795367
2018,10.47 ,13.80 ,0.79 
2019,12.908549019607843,16.46572549019608,0.8936078431372549
2020,18.32 ,23.51 ,1.12 
2021,19.9089387755102,26.151142857142855,1.3545306122448981
2022,16.90077235772358,20.95247967479675,1.0498780487804877
2023,20.239552845528458,25.154349593495937,1.0966666666666667
2024,26.184779116465865,33.308232931726906,1.4313253012048193
2025,26.445443037974684,34.52348101265823,1.4526582278481013
